Part Number,Density,Technology,Part Status,Depth,Width,Voltage,Package,Pin Count,Clock Rate,Data Rate,Cycle Time,Op. Temp.,Brand
MT53E256M32D2DS-046 AAT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +105C,Micron
MT53E256M32D2DS-046 AIT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +95C,Micron
MT53E256M32D2DS-046 AUT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +125C,Micron
MT53E256M32D2DS-046 IT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4266,(Empty),-40C to +85C,Micron
MT53E256M32D2DS-053 AAT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +105C,Micron
MT53E256M32D2DS-053 AIT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +95C,Micron
MT53E256M32D2DS-053 AUT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +125C,Micron
MT53E256M32D2DS-053 WT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3733,(Empty),-30C to +85C,Micron
MT53E384M32D2DS-046 AAT,12Gb,LPDDR4,Production,384Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +105C,Micron
MT53E384M32D2DS-046 AIT,12Gb,LPDDR4,Production,384Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +95C,Micron
MT53E384M32D2DS-046 AUT,12Gb,LPDDR4,Production,384Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +125C,Micron
MT53E384M32D2DS-053 AAT,12Gb,LPDDR4,Production,384Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),(Empty),Micron
MT53E384M32D2DS-053 AIT,12Gb,LPDDR4,Production,384Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +95C,Micron
MT53E384M32D2DS-053 AUT,12Gb,LPDDR4,Production,384Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +125C,Micron
MT53E768M32D4DT-046 AAT,24Gb,LPDDR4,Production,768Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +105C,Micron
MT53E768M32D4DT-046 AIT,24Gb,LPDDR4,Production,768Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +95C,Micron
MT53E768M32D4DT-053 AAT,24Gb,LPDDR4,Production,768Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +105C,Micron
MT53E768M32D4DT-053 AIT,24Gb,LPDDR4,Production,768Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +95C,Micron
MT62F1536M64D8CH-031 WT,96Gb,LPDDR5,Contact Factory,1536Mb,x64,1.05V,WFBGA,496-ball,3200 MHz,6400Mbps,6400 MB/s,-25C to +85C,Micron
MT62F1536M64D8CH-036 WT,96Gb,LPDDR5,Sampling,1536Mb,x64,1.05V,WFBGA,496-ball,2750 MHz,5500Mbps,5500 MB/s,-25C to +85C,Micron
MT62F1G32D4DR-031 WT,32Gb,LPDDR5,Sampling,512Mb,x32,1.05V,TFBGA,315-ball,3200 MHz,6400Mbps,6400 MB/s,-25C to +85C,Micron
MT62F1G64D8CH-031 WT,64Gb,LPDDR5,Sampling,1024Mb,x64,1.05V,WFBGA,496-ball,3200 MHz,6400Mbps,6400 MB/s,-25C to +85C,Micron
MT62F1G64D8CH-036 WT,64Gb,LPDDR5,Sampling,1024Mb,x64,1.05V,WFBGA,496-ball,2750 MHz,5500Mbps,5500 MB/s,-25C to +85C,Micron
MT62F2G64DAFL-031 WT,128Gb,LPDDR5,Sampling,2084Mb,x64,1.05V,VFBGA,496-ball,3200 MHz,6400Mbps,6400 MB/s,-25C to +85C,Micron
MT62F512M32D2DR-031 WT,16Gb,LPDDR5,Sampling,512Mb,x32,1.05V,TFBGA,315-ball,3200 MHz,6400Mbps,6400 MB/s,-25C to +85C,Micron
MT62F512M64D4BG-031 WT,32Gb,LPDDR5,Sampling,512Mb,x64,1.05V,WFBGA,496-ball,3200 MHz,6400Mbps,6400 MB/s,-25C to +85C,Micron
MT62F768M64D4BG-031 WT,48Gb,LPDDR5,Contact Factory,768Mb,x64,1.05V,WFBGA,496-ball,3200 MHz,6400Mbps,6400 MB/s,-25C to +85C,Micron
MT62F768M64D4BG-036 WT,48Gb,LPDDR5,Sampling,768Mb,x64,1.05V,WFBGA,496-ball,2750 MHz,5500Mbps,5500 MB/s,-25C to +85C,Micron
